index,importance
MinAbsEStateIndex,138
MaxAbsEStateIndex,101
MolLogP,78
AvgIpc,67
BalabanJ,62
BCUT2D_MWLOW,49
BCUT2D_CHGHI,48
MinEStateIndex,47
MolWt,44
VSA_EState7,44
VSA_EState8,43
qed,41
BCUT2D_LOGPLOW,41
SPS,39
BCUT2D_MRLOW,39
FractionCSP3,34
EState_VSA6,33
BCUT2D_CHGLO,31
VSA_EState6,31
VSA_EState4,30
MaxPartialCharge,29
EState_VSA11,26
SlogP_VSA5,23
EState_VSA7,21
PEOE_VSA8,20
SMR_VSA1,19
VSA_EState5,18
MinPartialCharge,18
PEOE_VSA1,18
Ipc,14
BCUT2D_LOGPHI,13
BCUT2D_MWHI,13
FpDensityMorgan3,12
Kappa3,12
SMR_VSA5,12
EState_VSA2,11
EState_VSA3,11
FpDensityMorgan1,10
PEOE_VSA9,10
BCUT2D_MRHI,9
Chi4n,9
MaxAbsPartialCharge,8
PEOE_VSA10,8
MaxEStateIndex,7
FpDensityMorgan2,7
Chi3n,6
PEOE_VSA7,6
LabuteASA,5
VSA_EState2,5
VSA_EState3,5
EState_VSA5,5
EState_VSA4,5
EState_VSA10,5
BertzCT,5
SlogP_VSA3,4
NumAtomStereoCenters,4
Chi2n,4
EState_VSA8,4
Chi0n,4
NHOHCount,3
EState_VSA1,3
SlogP_VSA4,3
HeavyAtomMolWt,3
EState_VSA9,2
NumHDonors,2
Phi,2
Chi2v,2
SMR_VSA6,2
NumHAcceptors,2
PEOE_VSA6,2
TPSA,2
SlogP_VSA1,2
SlogP_VSA6,1
SlogP_VSA2,1
NumValenceElectrons,1
SMR_VSA3,1
Chi1n,1
SMR_VSA7,1
SMR_VSA4,1
fr_halogen,0
fr_guanido,0
fr_hdrzone,0
fr_hdrzine,0
fr_benzene,0
fr_furan,0
fr_ether,0
fr_N_O,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_Nhpyrrole,0
fr_SH,0
fr_aldehyde,0
fr_alkyl_carbamate,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_amide,0
fr_amidine,0
fr_aniline,0
fr_aryl_methyl,0
fr_azide,0
fr_azo,0
fr_barbitur,0
fr_imide,0
fr_benzodiazepine,0
fr_bicyclic,0
fr_diazo,0
fr_dihydropyridine,0
fr_epoxide,0
fr_ester,0
fr_imidazole,0
fr_nitro,0
fr_isocyan,0
fr_isothiocyan,0
fr_piperdine,0
fr_piperzine,0
fr_priamide,0
fr_prisulfonamd,0
fr_pyridine,0
fr_quatN,0
fr_sulfide,0
fr_sulfonamd,0
fr_sulfone,0
fr_term_acetylene,0
fr_tetrazole,0
fr_thiazole,0
fr_thiocyan,0
fr_thiophene,0
fr_unbrch_alkane,0
fr_phos_ester,0
fr_phos_acid,0
fr_phenol_noOrthoHbond,0
fr_nitrile,0
fr_ketone,0
fr_ketone_Topliss,0
fr_lactam,0
fr_lactone,0
fr_methoxy,0
fr_morpholine,0
fr_NH1,0
fr_phenol,0
fr_nitro_arom,0
fr_nitro_arom_nonortho,0
fr_nitroso,0
fr_oxazole,0
fr_oxime,0
fr_para_hydroxylation,0
fr_NH2,0
NOCount,0
fr_NH0,0
SMR_VSA9,0
PEOE_VSA3,0
PEOE_VSA4,0
PEOE_VSA5,0
SMR_VSA10,0
SMR_VSA2,0
SMR_VSA8,0
SlogP_VSA10,0
VSA_EState9,0
SlogP_VSA11,0
SlogP_VSA12,0
SlogP_VSA7,0
SlogP_VSA8,0
SlogP_VSA9,0
VSA_EState1,0
PEOE_VSA2,0
PEOE_VSA14,0
PEOE_VSA13,0
PEOE_VSA12,0
PEOE_VSA11,0
Kappa2,0
Kappa1,0
HallKierAlpha,0
Chi4v,0
Chi3v,0
Chi1v,0
Chi1,0
Chi0v,0
Chi0,0
MinAbsPartialCharge,0
NumRadicalElectrons,0
ExactMolWt,0
VSA_EState10,0
HeavyAtomCount,0
fr_Imine,0
fr_Ar_NH,0
fr_Al_COO,0
fr_Al_OH,0
fr_Al_OH_noTert,0
fr_ArN,0
fr_Ar_COO,0
fr_Ar_N,0
fr_Ar_OH,0
NumAliphaticCarbocycles,0
fr_COO,0
fr_COO2,0
fr_C_O,0
fr_C_O_noCOO,0
fr_C_S,0
fr_HOCCN,0
MolMR,0
RingCount,0
NumUnspecifiedAtomStereoCenters,0
NumSpiroAtoms,0
NumSaturatedRings,0
NumSaturatedHeterocycles,0
NumSaturatedCarbocycles,0
NumRotatableBonds,0
NumHeterocycles,0
NumHeteroatoms,0
NumBridgeheadAtoms,0
NumAromaticRings,0
NumAromaticHeterocycles,0
NumAromaticCarbocycles,0
NumAmideBonds,0
NumAliphaticRings,0
NumAliphaticHeterocycles,0
fr_urea,0
